CL:         Wing Fraction:       Wetted Area Ratio: 
2.138             0.5%                  1.0
2.159             0.5%                  1.01
2.180             0.5%                  1.02
2.202             0.5%                  1.03
2.223             0.5%                  1.04
2.244             0.5%                  1.05
2.266             0.5%                  1.06
2.287             0.5%                  1.07
2.309*            0.5%                  1.08
2.330*            0.5%                  1.09


2.197             0.55%                  1.0
2.219             0.55%                  1.01
2.241             0.55%                  1.02
2.263             0.55%                  1.03
2.285             0.55%                  1.04
2.307*            0.55%                  1.05
2.329*            0.55%                  1.06
2.351*            0.55%                  1.07
2.373*            0.55%                  1.08
2.395*            0.55%                  1.09


2.257             0.6%                  1.0
2.279             0.6%                  1.01
2.302*            0.6%                  1.02
2.324*            0.6%                  1.03
2.347*            0.6%                  1.04
2.370*            0.6%                  1.05
2.392*            0.6%                  1.06
2.415*            0.6%                  1.07
2.437*            0.6%                  1.08
2.460*            0.6%                  1.09


2.316*            0.65%                  1.0
2.339*            0.65%                  1.01
2.362*            0.65%                  1.02
2.385*            0.65%                  1.03
2.408*            0.65%                  1.04
2.432*            0.65%                  1.05
2.455*            0.65%                  1.06
2.478*            0.65%                  1.07
2.501*            0.65%                  1.08
2.524*            0.65%                  1.09


2.374*            0.7%                  1.0
2.398*            0.7%                  1.01
2.422*            0.7%                  1.02
2.445*            0.7%                  1.03
2.469*            0.7%                  1.04
2.493*            0.7%                  1.05
2.517*            0.7%                  1.06
2.540*            0.7%                  1.07
2.564*            0.7%                  1.08
2.588*            0.7%                  1.09


2.432*            0.75%                  1.0
2.457*            0.75%                  1.01
2.481*            0.75%                  1.02
2.505*            0.75%                  1.03
2.530*            0.75%                  1.04
2.554*            0.75%                  1.05
2.578*            0.75%                  1.06
2.603*            0.75%                  1.07
2.627*            0.75%                  1.08
2.651*            0.75%                  1.09


2.490*            0.8%                  1.0
2.515*            0.8%                  1.01
2.540*            0.8%                  1.02
2.565*            0.8%                  1.03
2.590*            0.8%                  1.04
2.615*            0.8%                  1.05
2.639*            0.8%                  1.06
2.664*            0.8%                  1.07
2.689*            0.8%                  1.08
2.714*            0.8%                  1.09


2.547*            0.85%                  1.0
2.573*            0.85%                  1.01
2.598*            0.85%                  1.02
2.624*            0.85%                  1.03
2.649*            0.85%                  1.04
2.675*            0.85%                  1.05
2.700*            0.85%                  1.06
2.726*            0.85%                  1.07
2.751*            0.85%                  1.08
2.777*            0.85%                  1.09


2.604*            0.9%                  1.0
2.630*            0.9%                  1.01
2.656*            0.9%                  1.02
2.682*            0.9%                  1.03
2.708*            0.9%                  1.04
2.734*            0.9%                  1.05
2.760*            0.9%                  1.06
2.787*            0.9%                  1.07
2.813*            0.9%                  1.08
2.839*            0.9%                  1.09


2.661*            0.95%                  1.0
2.687*            0.95%                  1.01
2.714*            0.95%                  1.02
2.741*            0.95%                  1.03
2.767*            0.95%                  1.04
2.794*            0.95%                  1.05
2.820*            0.95%                  1.06
2.847*            0.95%                  1.07
2.874*            0.95%                  1.08
2.900*            0.95%                  1.09


