Kruger | Fowler Flaps

CL:         Wing Fraction:       Wetted Area Ratio: 
1.948             50%                  1.0
1.967             50%                  1.01
1.987             50%                  1.02
2.006             50%                  1.03
2.026             50%                  1.04
2.045             50%                  1.05
2.065             50%                  1.06
2.084             50%                  1.07
2.104             50%                  1.08
2.123             50%                  1.09


1.998             55%                  1.0
2.018             55%                  1.01
2.038             55%                  1.02
2.058             55%                  1.03
2.078             55%                  1.04
2.098             55%                  1.05
2.118             55%                  1.06
2.137             55%                  1.07
2.157             55%                  1.08
2.177             55%                  1.09


2.047             60%                  1.0
2.068             60%                  1.01
2.088             60%                  1.02
2.109             60%                  1.03
2.129             60%                  1.04
2.149             60%                  1.05
2.170             60%                  1.06
2.190             60%                  1.07
2.211             60%                  1.08
2.231             60%                  1.09


2.096             65%                  1.0
2.117             65%                  1.01
2.138             65%                  1.02
2.159             65%                  1.03
2.180             65%                  1.04
2.201             65%                  1.05
2.222             65%                  1.06
2.243             65%                  1.07
2.264             65%                  1.08
2.285             65%                  1.09


2.145             70%                  1.0
2.167             70%                  1.01
2.188             70%                  1.02
2.209             70%                  1.03
2.231             70%                  1.04
2.252             70%                  1.05
2.274             70%                  1.06
2.295             70%                  1.07
2.317*            70%                  1.08
2.338*            70%                  1.09


2.194             75%                  1.0
2.216             75%                  1.01
2.238             75%                  1.02
2.260             75%                  1.03
2.281             75%                  1.04
2.303*            75%                  1.05
2.325*            75%                  1.06
2.347*            75%                  1.07
2.369*            75%                  1.08
2.391*            75%                  1.09


2.242             80%                  1.0
2.264             80%                  1.01
2.287             80%                  1.02
2.309*            80%                  1.03
2.332*            80%                  1.04
2.354*            80%                  1.05
2.377*            80%                  1.06
2.399*            80%                  1.07
2.421*            80%                  1.08
2.444*            80%                  1.09


2.290             85%                  1.0
2.313*            85%                  1.01
2.336*            85%                  1.02
2.359*            85%                  1.03
2.382*            85%                  1.04
2.404*            85%                  1.05
2.427*            85%                  1.06
2.450*            85%                  1.07
2.473*            85%                  1.08
2.496*            85%                  1.09


2.338*            90%                  1.0
2.361*            90%                  1.01
2.384*            90%                  1.02
2.408*            90%                  1.03
2.431*            90%                  1.04
2.455*            90%                  1.05
2.478*            90%                  1.06
2.501*            90%                  1.07
2.525*            90%                  1.08
2.548*            90%                  1.09


2.385*            95%                  1.0
2.409*            95%                  1.01
2.433*            95%                  1.02
2.457*            95%                  1.03
2.481*            95%                  1.04
2.504*            95%                  1.05
2.528*            95%                  1.06
2.552*            95%                  1.07
2.576*            95%                  1.08
2.600*            95%                  1.09


