Slats | Double slotted flaps

CL:         Wing Fraction:       Wetted Area Ratio: 
2.138             50%                  1.0
2.159             50%                  1.01
2.180             50%                  1.02
2.202             50%                  1.03
2.223             50%                  1.04
2.244             50%                  1.05
2.266             50%                  1.06
2.287             50%                  1.07
2.309*            50%                  1.08
2.330*            50%                  1.09


2.197             55%                  1.0
2.219             55%                  1.01
2.241             55%                  1.02
2.263             55%                  1.03
2.285             55%                  1.04
2.307*            55%                  1.05
2.329*            55%                  1.06
2.351*            55%                  1.07
2.373*            55%                  1.08
2.395*            55%                  1.09


2.257             60%                  1.0
2.279             60%                  1.01
2.302*            60%                  1.02
2.324*            60%                  1.03
2.347*            60%                  1.04
2.370*            60%                  1.05
2.392*            60%                  1.06
2.415*            60%                  1.07
2.437*            60%                  1.08
2.460*            60%                  1.09


2.316*            65%                  1.0
2.339*            65%                  1.01
2.362*            65%                  1.02
2.385*            65%                  1.03
2.408*            65%                  1.04
2.432*            65%                  1.05
2.455*            65%                  1.06
2.478*            65%                  1.07
2.501*            65%                  1.08
2.524*            65%                  1.09


2.374*            70%                  1.0
2.398*            70%                  1.01
2.422*            70%                  1.02
2.445*            70%                  1.03
2.469*            70%                  1.04
2.493*            70%                  1.05
2.517*            70%                  1.06
2.540*            70%                  1.07
2.564*            70%                  1.08
2.588*            70%                  1.09


2.432*            75%                  1.0
2.457*            75%                  1.01
2.481*            75%                  1.02
2.505*            75%                  1.03
2.530*            75%                  1.04
2.554*            75%                  1.05
2.578*            75%                  1.06
2.603*            75%                  1.07
2.627*            75%                  1.08
2.651*            75%                  1.09


2.490*            80%                  1.0
2.515*            80%                  1.01
2.540*            80%                  1.02
2.565*            80%                  1.03
2.590*            80%                  1.04
2.615*            80%                  1.05
2.639*            80%                  1.06
2.664*            80%                  1.07
2.689*            80%                  1.08
2.714*            80%                  1.09


2.547*            85%                  1.0
2.573*            85%                  1.01
2.598*            85%                  1.02
2.624*            85%                  1.03
2.649*            85%                  1.04
2.675*            85%                  1.05
2.700*            85%                  1.06
2.726*            85%                  1.07
2.751*            85%                  1.08
2.777*            85%                  1.09


2.604*            90%                  1.0
2.630*            90%                  1.01
2.656*            90%                  1.02
2.682*            90%                  1.03
2.708*            90%                  1.04
2.734*            90%                  1.05
2.760*            90%                  1.06
2.787*            90%                  1.07
2.813*            90%                  1.08
2.839*            90%                  1.09


2.661*            95%                  1.0
2.687*            95%                  1.01
2.714*            95%                  1.02
2.741*            95%                  1.03
2.767*            95%                  1.04
2.794*            95%                  1.05
2.820*            95%                  1.06
2.847*            95%                  1.07
2.874*            95%                  1.08
2.900*            95%                  1.09


