CL:         Wing Fraction:       Wetted Area Ratio: 
2.062             50%                  1.0
2.083             50%                  1.01
2.103             50%                  1.02
2.124             50%                  1.03
2.145             50%                  1.04
2.165             50%                  1.05
2.186             50%                  1.06
2.207             50%                  1.07
2.227             50%                  1.08
2.248             50%                  1.09


2.123             55%                  1.0
2.144             55%                  1.01
2.165             55%                  1.02
2.186             55%                  1.03
2.208             55%                  1.04
2.229             55%                  1.05
2.250             55%                  1.06
2.271             55%                  1.07
2.292             55%                  1.08
2.314*            55%                  1.09


2.183             60%                  1.0
2.204             60%                  1.01
2.226             60%                  1.02
2.248             60%                  1.03
2.270             60%                  1.04
2.292             60%                  1.05
2.313*            60%                  1.06
2.335*            60%                  1.07
2.357*            60%                  1.08
2.379*            60%                  1.09


2.242             65%                  1.0
2.264             65%                  1.01
2.287             65%                  1.02
2.309*            65%                  1.03
2.332*            65%                  1.04
2.354*            65%                  1.05
2.377*            65%                  1.06
2.399*            65%                  1.07
2.421*            65%                  1.08
2.444*            65%                  1.09


2.301*            70%                  1.0
2.324*            70%                  1.01
2.347*            70%                  1.02
2.370*            70%                  1.03
2.393*            70%                  1.04
2.416*            70%                  1.05
2.439*            70%                  1.06
2.462*            70%                  1.07
2.485*            70%                  1.08
2.508*            70%                  1.09


2.360*            75%                  1.0
2.383*            75%                  1.01
2.407*            75%                  1.02
2.430*            75%                  1.03
2.454*            75%                  1.04
2.478*            75%                  1.05
2.501*            75%                  1.06
2.525*            75%                  1.07
2.548*            75%                  1.08
2.572*            75%                  1.09


2.418*            80%                  1.0
2.442*            80%                  1.01
2.466*            80%                  1.02
2.490*            80%                  1.03
2.515*            80%                  1.04
2.539*            80%                  1.05
2.563*            80%                  1.06
2.587*            80%                  1.07
2.611*            80%                  1.08
2.635*            80%                  1.09


2.476*            85%                  1.0
2.500*            85%                  1.01
2.525*            85%                  1.02
2.550*            85%                  1.03
2.575*            85%                  1.04
2.599*            85%                  1.05
2.624*            85%                  1.06
2.649*            85%                  1.07
2.674*            85%                  1.08
2.698*            85%                  1.09


2.533*            90%                  1.0
2.558*            90%                  1.01
2.584*            90%                  1.02
2.609*            90%                  1.03
2.634*            90%                  1.04
2.660*            90%                  1.05
2.685*            90%                  1.06
2.710*            90%                  1.07
2.736*            90%                  1.08
2.761*            90%                  1.09


2.590*            95%                  1.0
2.616*            95%                  1.01
2.642*            95%                  1.02
2.668*            95%                  1.03
2.694*            95%                  1.04
2.720*            95%                  1.05
2.745*            95%                  1.06
2.771*            95%                  1.07
2.797*            95%                  1.08
2.823*            95%                  1.09


