CL:         Wing Fraction:       Wetted Area Ratio: 
2.175             50%                  1.0
2.197             50%                  1.01
2.219             50%                  1.02
2.240             50%                  1.03
2.262             50%                  1.04
2.284             50%                  1.05
2.306*            50%                  1.06
2.327*            50%                  1.07
2.349*            50%                  1.08
2.371*            50%                  1.09


2.246             55%                  1.0
2.268             55%                  1.01
2.291             55%                  1.02
2.313*            55%                  1.03
2.336*            55%                  1.04
2.358*            55%                  1.05
2.380*            55%                  1.06
2.403*            55%                  1.07
2.425*            55%                  1.08
2.448*            55%                  1.09


2.316*            60%                  1.0
2.339*            60%                  1.01
2.362*            60%                  1.02
2.385*            60%                  1.03
2.408*            60%                  1.04
2.432*            60%                  1.05
2.455*            60%                  1.06
2.478*            60%                  1.07
2.501*            60%                  1.08
2.524*            60%                  1.09


2.385*            65%                  1.0
2.409*            65%                  1.01
2.433*            65%                  1.02
2.457*            65%                  1.03
2.481*            65%                  1.04
2.504*            65%                  1.05
2.528*            65%                  1.06
2.552*            65%                  1.07
2.576*            65%                  1.08
2.600*            65%                  1.09


2.454*            70%                  1.0
2.479*            70%                  1.01
2.503*            70%                  1.02
2.528*            70%                  1.03
2.552*            70%                  1.04
2.577*            70%                  1.05
2.601*            70%                  1.06
2.626*            70%                  1.07
2.650*            70%                  1.08
2.675*            70%                  1.09


2.522*            75%                  1.0
2.548*            75%                  1.01
2.573*            75%                  1.02
2.598*            75%                  1.03
2.623*            75%                  1.04
2.648*            75%                  1.05
2.674*            75%                  1.06
2.699*            75%                  1.07
2.724*            75%                  1.08
2.749*            75%                  1.09


2.590*            80%                  1.0
2.616*            80%                  1.01
2.642*            80%                  1.02
2.668*            80%                  1.03
2.694*            80%                  1.04
2.720*            80%                  1.05
2.745*            80%                  1.06
2.771*            80%                  1.07
2.797*            80%                  1.08
2.823*            80%                  1.09


2.657*            85%                  1.0
2.684*            85%                  1.01
2.710*            85%                  1.02
2.737*            85%                  1.03
2.763*            85%                  1.04
2.790*            85%                  1.05
2.817*            85%                  1.06
2.843*            85%                  1.07
2.870*            85%                  1.08
2.896*            85%                  1.09


2.724*            90%                  1.0
2.751*            90%                  1.01
2.778*            90%                  1.02
2.805*            90%                  1.03
2.833*            90%                  1.04
2.860*            90%                  1.05
2.887*            90%                  1.06
2.914*            90%                  1.07
2.942*            90%                  1.08
2.969*            90%                  1.09


2.790*            95%                  1.0
2.818*            95%                  1.01
2.846*            95%                  1.02
2.873*            95%                  1.03
2.901*            95%                  1.04
2.929*            95%                  1.05
2.957*            95%                  1.06
2.985*            95%                  1.07
3.013*            95%                  1.08
3.041*            95%                  1.09


