CL:         Wing Fraction:       Wetted Area Ratio:           Delta Chord:            Flap Chord: 
2.138             50%                  1.00                      0.000m                  0.000m
2.159             50%                  1.01                      0.058m                  0.116m
2.180             50%                  1.02                      0.116m                  0.232m
2.202             50%                  1.03                      0.174m                  0.348m
2.223             50%                  1.04                      0.232m                  0.464m
2.244             50%                  1.05                      0.290m                  0.580m
2.266             50%                  1.06                      0.348m                  0.696m
2.287             50%                  1.07                      0.406m                  0.812m
2.309*            50%                  1.08                      0.464m                  0.928m
2.330*            50%                  1.09                      0.522m                  1.044m


2.197             55%                  1.00                      0.000m                  0.000m
2.219             55%                  1.01                      0.053m                  0.105m
2.241             55%                  1.02                      0.105m                  0.211m
2.263             55%                  1.03                      0.158m                  0.316m
2.285             55%                  1.04                      0.211m                  0.422m
2.307*            55%                  1.05                      0.264m                  0.527m
2.329*            55%                  1.06                      0.316m                  0.633m
2.351*            55%                  1.07                      0.369m                  0.738m
2.373*            55%                  1.08                      0.422m                  0.844m
2.395*            55%                  1.09                      0.475m                  0.949m


2.257             60%                  1.00                      0.000m                  0.000m
2.279             60%                  1.01                      0.048m                  0.097m
2.302*            60%                  1.02                      0.097m                  0.193m
2.324*            60%                  1.03                      0.145m                  0.290m
2.347*            60%                  1.04                      0.193m                  0.387m
2.370*            60%                  1.05                      0.242m                  0.484m
2.392*            60%                  1.06                      0.290m                  0.580m
2.415*            60%                  1.07                      0.338m                  0.677m
2.437*            60%                  1.08                      0.387m                  0.774m
2.460*            60%                  1.09                      0.435m                  0.870m


2.316*            65%                  1.00                      0.000m                  0.000m
2.339*            65%                  1.01                      0.045m                  0.089m
2.362*            65%                  1.02                      0.089m                  0.179m
2.385*            65%                  1.03                      0.134m                  0.268m
2.408*            65%                  1.04                      0.179m                  0.357m
2.432*            65%                  1.05                      0.223m                  0.446m
2.455*            65%                  1.06                      0.268m                  0.536m
2.478*            65%                  1.07                      0.312m                  0.625m
2.501*            65%                  1.08                      0.357m                  0.714m
2.524*            65%                  1.09                      0.402m                  0.803m


2.374*            70%                  1.00                      0.000m                  0.000m
2.398*            70%                  1.01                      0.041m                  0.083m
2.422*            70%                  1.02                      0.083m                  0.166m
2.445*            70%                  1.03                      0.124m                  0.249m
2.469*            70%                  1.04                      0.166m                  0.332m
2.493*            70%                  1.05                      0.207m                  0.414m
2.517*            70%                  1.06                      0.249m                  0.497m
2.540*            70%                  1.07                      0.290m                  0.580m
2.564*            70%                  1.08                      0.332m                  0.663m
2.588*            70%                  1.09                      0.373m                  0.746m


2.432*            75%                  1.00                      0.000m                  0.000m
2.457*            75%                  1.01                      0.039m                  0.077m
2.481*            75%                  1.02                      0.077m                  0.155m
2.505*            75%                  1.03                      0.116m                  0.232m
2.530*            75%                  1.04                      0.155m                  0.309m
2.554*            75%                  1.05                      0.193m                  0.387m
2.578*            75%                  1.06                      0.232m                  0.464m
2.603*            75%                  1.07                      0.271m                  0.542m
2.627*            75%                  1.08                      0.309m                  0.619m
2.651*            75%                  1.09                      0.348m                  0.696m


2.490*            80%                  1.00                      0.000m                  0.000m
2.515*            80%                  1.01                      0.036m                  0.073m
2.540*            80%                  1.02                      0.073m                  0.145m
2.565*            80%                  1.03                      0.109m                  0.218m
2.590*            80%                  1.04                      0.145m                  0.290m
2.615*            80%                  1.05                      0.181m                  0.363m
2.639*            80%                  1.06                      0.218m                  0.435m
2.664*            80%                  1.07                      0.254m                  0.508m
2.689*            80%                  1.08                      0.290m                  0.580m
2.714*            80%                  1.09                      0.326m                  0.653m


2.547*            85%                  1.00                      0.000m                  0.000m
2.573*            85%                  1.01                      0.034m                  0.068m
2.598*            85%                  1.02                      0.068m                  0.137m
2.624*            85%                  1.03                      0.102m                  0.205m
2.649*            85%                  1.04                      0.137m                  0.273m
2.675*            85%                  1.05                      0.171m                  0.341m
2.700*            85%                  1.06                      0.205m                  0.410m
2.726*            85%                  1.07                      0.239m                  0.478m
2.751*            85%                  1.08                      0.273m                  0.546m
2.777*            85%                  1.09                      0.307m                  0.614m


2.604*            90%                  1.00                      0.000m                  0.000m
2.630*            90%                  1.01                      0.032m                  0.064m
2.656*            90%                  1.02                      0.064m                  0.129m
2.682*            90%                  1.03                      0.097m                  0.193m
2.708*            90%                  1.04                      0.129m                  0.258m
2.734*            90%                  1.05                      0.161m                  0.322m
2.760*            90%                  1.06                      0.193m                  0.387m
2.787*            90%                  1.07                      0.226m                  0.451m
2.813*            90%                  1.08                      0.258m                  0.516m
2.839*            90%                  1.09                      0.290m                  0.580m


2.661*            95%                  1.00                      0.000m                  0.000m
2.687*            95%                  1.01                      0.031m                  0.061m
2.714*            95%                  1.02                      0.061m                  0.122m
2.741*            95%                  1.03                      0.092m                  0.183m
2.767*            95%                  1.04                      0.122m                  0.244m
2.794*            95%                  1.05                      0.153m                  0.305m
2.820*            95%                  1.06                      0.183m                  0.366m
2.847*            95%                  1.07                      0.214m                  0.428m
2.874*            95%                  1.08                      0.244m                  0.489m
2.900*            95%                  1.09                      0.275m                  0.550m


