CL:         Wing Fraction:       Wetted Area Ratio: 
2.024             50%                  1.0
2.045             50%                  1.01
2.065             50%                  1.02
2.085             50%                  1.03
2.105             50%                  1.04
2.126             50%                  1.05
2.146             50%                  1.06
2.166             50%                  1.07
2.186             50%                  1.08
2.206             50%                  1.09


2.074             55%                  1.0
2.094             55%                  1.01
2.115             55%                  1.02
2.136             55%                  1.03
2.157             55%                  1.04
2.177             55%                  1.05
2.198             55%                  1.06
2.219             55%                  1.07
2.239             55%                  1.08
2.260             55%                  1.09


2.123             60%                  1.0
2.144             60%                  1.01
2.165             60%                  1.02
2.186             60%                  1.03
2.208             60%                  1.04
2.229             60%                  1.05
2.250             60%                  1.06
2.271             60%                  1.07
2.292             60%                  1.08
2.314*            60%                  1.09


2.171             65%                  1.0
2.193             65%                  1.01
2.215             65%                  1.02
2.236             65%                  1.03
2.258             65%                  1.04
2.280             65%                  1.05
2.302*            65%                  1.06
2.323*            65%                  1.07
2.345*            65%                  1.08
2.367*            65%                  1.09


2.220             70%                  1.0
2.242             70%                  1.01
2.264             70%                  1.02
2.286             70%                  1.03
2.309*            70%                  1.04
2.331*            70%                  1.05
2.353*            70%                  1.06
2.375*            70%                  1.07
2.397*            70%                  1.08
2.420*            70%                  1.09


2.268             75%                  1.0
2.291             75%                  1.01
2.313*            75%                  1.02
2.336*            75%                  1.03
2.359*            75%                  1.04
2.381*            75%                  1.05
2.404*            75%                  1.06
2.427*            75%                  1.07
2.449*            75%                  1.08
2.472*            75%                  1.09


2.316*            80%                  1.0
2.339*            80%                  1.01
2.362*            80%                  1.02
2.385*            80%                  1.03
2.408*            80%                  1.04
2.432*            80%                  1.05
2.455*            80%                  1.06
2.478*            80%                  1.07
2.501*            80%                  1.08
2.524*            80%                  1.09


2.363*            85%                  1.0
2.387*            85%                  1.01
2.411*            85%                  1.02
2.434*            85%                  1.03
2.458*            85%                  1.04
2.481*            85%                  1.05
2.505*            85%                  1.06
2.529*            85%                  1.07
2.552*            85%                  1.08
2.576*            85%                  1.09


2.411*            90%                  1.0
2.435*            90%                  1.01
2.459*            90%                  1.02
2.483*            90%                  1.03
2.507*            90%                  1.04
2.531*            90%                  1.05
2.555*            90%                  1.06
2.579*            90%                  1.07
2.603*            90%                  1.08
2.628*            90%                  1.09


2.458*            95%                  1.0
2.482*            95%                  1.01
2.507*            95%                  1.02
2.531*            95%                  1.03
2.556*            95%                  1.04
2.581*            95%                  1.05
2.605*            95%                  1.06
2.630*            95%                  1.07
2.654*            95%                  1.08
2.679*            95%                  1.09


