CL:         Wing Fraction:       Wetted Area Ratio: 
2.249             50%                  1.0
2.272             50%                  1.01
2.294             50%                  1.02
2.317*            50%                  1.03
2.339*            50%                  1.04
2.362*            50%                  1.05
2.384*            50%                  1.06
2.407*            50%                  1.07
2.429*            50%                  1.08
2.452*            50%                  1.09


2.319*            55%                  1.0
2.343*            55%                  1.01
2.366*            55%                  1.02
2.389*            55%                  1.03
2.412*            55%                  1.04
2.435*            55%                  1.05
2.459*            55%                  1.06
2.482*            55%                  1.07
2.505*            55%                  1.08
2.528*            55%                  1.09


2.389*            60%                  1.0
2.413*            60%                  1.01
2.437*            60%                  1.02
2.460*            60%                  1.03
2.484*            60%                  1.04
2.508*            60%                  1.05
2.532*            60%                  1.06
2.556*            60%                  1.07
2.580*            60%                  1.08
2.604*            60%                  1.09


2.458*            65%                  1.0
2.482*            65%                  1.01
2.507*            65%                  1.02
2.531*            65%                  1.03
2.556*            65%                  1.04
2.581*            65%                  1.05
2.605*            65%                  1.06
2.630*            65%                  1.07
2.654*            65%                  1.08
2.679*            65%                  1.09


2.526*            70%                  1.0
2.551*            70%                  1.01
2.576*            70%                  1.02
2.602*            70%                  1.03
2.627*            70%                  1.04
2.652*            70%                  1.05
2.677*            70%                  1.06
2.703*            70%                  1.07
2.728*            70%                  1.08
2.753*            70%                  1.09


2.594*            75%                  1.0
2.620*            75%                  1.01
2.645*            75%                  1.02
2.671*            75%                  1.03
2.697*            75%                  1.04
2.723*            75%                  1.05
2.749*            75%                  1.06
2.775*            75%                  1.07
2.801*            75%                  1.08
2.827*            75%                  1.09


2.661*            80%                  1.0
2.687*            80%                  1.01
2.714*            80%                  1.02
2.741*            80%                  1.03
2.767*            80%                  1.04
2.794*            80%                  1.05
2.820*            80%                  1.06
2.847*            80%                  1.07
2.874*            80%                  1.08
2.900*            80%                  1.09


2.727*            85%                  1.0
2.755*            85%                  1.01
2.782*            85%                  1.02
2.809*            85%                  1.03
2.836*            85%                  1.04
2.864*            85%                  1.05
2.891*            85%                  1.06
2.918*            85%                  1.07
2.945*            85%                  1.08
2.973*            85%                  1.09


2.793*            90%                  1.0
2.821*            90%                  1.01
2.849*            90%                  1.02
2.877*            90%                  1.03
2.905*            90%                  1.04
2.933*            90%                  1.05
2.961*            90%                  1.06
2.989*            90%                  1.07
3.017*            90%                  1.08
3.045*            90%                  1.09


2.859*            95%                  1.0
2.887*            95%                  1.01
2.916*            95%                  1.02
2.944*            95%                  1.03
2.973*            95%                  1.04
3.002*            95%                  1.05
3.030*            95%                  1.06
3.059*            95%                  1.07
3.087*            95%                  1.08
3.116*            95%                  1.09


