 CL:          Wf:       Alpha Stall:       Alpha:        Flap Root Chord:      Flap Tip Chord: 
2.1900        50%           10.276             8.2deg              1.543m                0.488m 
2.2040        51%           10.133             8.2deg              1.543m                0.477m 
2.2170        52%           9.992             8.2deg              1.543m                0.467m 
2.2310        53%           9.852             8.2deg              1.543m                0.456m 
2.2440        54%           9.714             8.2deg              1.543m                0.446m 
2.2570        55%           9.577             8.2deg              1.543m                0.435m 
2.2700        56%           9.441             8.2deg              1.543m                0.425m 
2.2830        57%           9.308             8.2deg              1.543m                0.414m 
2.2960        58%           9.175             8.2deg              1.543m                0.404m 
2.3080*       59%           9.044             8.2deg              1.543m                0.393m 
2.3210*       60%           8.915             8.2deg              1.543m                0.382m 
2.3330*       61%           8.787             8.2deg              1.543m                0.372m 
2.3450*       62%           8.661             8.2deg              1.543m                0.361m 
2.3570*       63%           8.536             8.2deg              1.543m                0.351m 
2.3690*       64%           8.413             8.2deg              1.543m                0.340m 
2.3810*       65%           8.291             8.2deg              1.543m                0.330m 
2.3920*       66%           8.171             8.2deg              1.543m                0.319m 
2.4040*       67%           8.052             8.2deg              1.543m                0.309m 
2.4150*       68%           7.934             8.2deg              1.543m                0.298m 
2.4260*       69%           7.818             8.2deg              1.543m                0.287m 
2.4370*       70%           7.704             8.2deg              1.543m                0.277m 
2.4480*       71%           7.591             8.2deg              1.543m                0.266m 
2.4590*       72%           7.480             8.2deg              1.543m                0.256m 
2.4690*       73%           7.370             8.2deg              1.543m                0.245m 
2.4800*       74%           7.262             8.2deg              1.543m                0.235m 
2.4900*       75%           7.155             8.2deg              1.543m                0.224m 
2.5000*       76%           7.049             8.2deg              1.543m                0.214m 
2.5100*       77%           6.945             8.2deg              1.543m                0.203m 
2.5200*       78%           6.843             8.2deg              1.543m                0.192m 
2.5290*       79%           6.742             8.2deg              1.543m                0.182m 
2.5390*       80%           6.643             8.2deg              1.543m                0.171m 
2.5480*       81%           6.545             8.2deg              1.543m                0.161m 
2.5580*       82%           6.448             8.2deg              1.543m                0.150m 
2.5670*       83%           6.353             8.2deg              1.543m                0.140m 
2.5760*       84%           6.260             8.2deg              1.543m                0.129m 
2.5850*       85%           6.168             8.2deg              1.543m                0.119m 
2.5930*       86%           6.077             8.2deg              1.543m                0.108m 
2.6020*       87%           5.988             8.2deg              1.543m                0.097m 
2.6100*       88%           5.901             8.2deg              1.543m                0.087m 
2.6180*       89%           5.815             8.2deg              1.543m                0.076m 
2.6270*       90%           5.730             8.2deg              1.543m                0.066m 
2.6350*       91%           5.647             8.2deg              1.543m                0.055m 
2.6420*       92%           5.566             8.2deg              1.543m                0.045m 
2.6500*       93%           5.486             8.2deg              1.543m                0.034m 
2.6580*       94%           5.407             8.2deg              1.543m                0.024m 
2.6650*       95%           5.330             8.2deg              1.543m                0.013m 
2.6720*       96%           5.255             8.2deg              1.543m                0.002m 
2.6790*       97%           5.181             8.2deg              1.543m                -0.008m 
2.6860*       98%           5.108             8.2deg              1.543m                -0.019m 
2.6930*       99%           5.037             8.2deg              1.543m                -0.029m 
