 CL:          Wf:       Alpha Stall:       Alpha:        Flap Root Chord:      Flap Tip Chord: 
2.2280        50%           8.456             7deg              1.543m                0.488m 
2.2440        51%           8.313             7deg              1.543m                0.477m 
2.2600        52%           8.172             7deg              1.543m                0.467m 
2.2760        53%           8.032             7deg              1.543m                0.456m 
2.2920        54%           7.894             7deg              1.543m                0.446m 
2.3080*       55%           7.757             7deg              1.543m                0.435m 
2.3230*       56%           7.621             7deg              1.543m                0.425m 
2.3380*       57%           7.488             7deg              1.543m                0.414m 
2.3530*       58%           7.355             7deg              1.543m                0.404m 
2.3680*       59%           7.224             7deg              1.543m                0.393m 
2.3830*       60%           7.095             7deg              1.543m                0.382m 
2.3980*       61%           6.967             7deg              1.543m                0.372m 
2.4120*       62%           6.841             7deg              1.543m                0.361m 
2.4260*       63%           6.716             7deg              1.543m                0.351m 
2.4400*       64%           6.593             7deg              1.543m                0.340m 
2.4540*       65%           6.471             7deg              1.543m                0.330m 
2.4680*       66%           6.351             7deg              1.543m                0.319m 
2.4820*       67%           6.232             7deg              1.543m                0.309m 
2.4950*       68%           6.114             7deg              1.543m                0.298m 
2.5080*       69%           5.998             7deg              1.543m                0.287m 
2.5210*       70%           5.884             7deg              1.543m                0.277m 
2.5340*       71%           5.771             7deg              1.543m                0.266m 
2.5470*       72%           5.660             7deg              1.543m                0.256m 
2.5590*       73%           5.550             7deg              1.543m                0.245m 
2.5720*       74%           5.442             7deg              1.543m                0.235m 
2.5840*       75%           5.335             7deg              1.543m                0.224m 
2.5960*       76%           5.229             7deg              1.543m                0.214m 
2.6080*       77%           5.125             7deg              1.543m                0.203m 
2.6190*       78%           5.023             7deg              1.543m                0.192m 
2.6310*       79%           4.922             7deg              1.543m                0.182m 
2.6420*       80%           4.823             7deg              1.543m                0.171m 
2.6530*       81%           4.725             7deg              1.543m                0.161m 
2.6640*       82%           4.628             7deg              1.543m                0.150m 
2.6750*       83%           4.533             7deg              1.543m                0.140m 
2.6860*       84%           4.440             7deg              1.543m                0.129m 
2.6960*       85%           4.348             7deg              1.543m                0.119m 
2.7070*       86%           4.257             7deg              1.543m                0.108m 
2.7170*       87%           4.168             7deg              1.543m                0.097m 
2.7270*       88%           4.081             7deg              1.543m                0.087m 
2.7370*       89%           3.995             7deg              1.543m                0.076m 
2.7460*       90%           3.910             7deg              1.543m                0.066m 
2.7560*       91%           3.827             7deg              1.543m                0.055m 
2.7650*       92%           3.746             7deg              1.543m                0.045m 
2.7740*       93%           3.666             7deg              1.543m                0.034m 
2.7830*       94%           3.587             7deg              1.543m                0.024m 
2.7920*       95%           3.510             7deg              1.543m                0.013m 
2.8000*       96%           3.435             7deg              1.543m                0.002m 
2.8090*       97%           3.361             7deg              1.543m                -0.008m 
2.8170*       98%           3.288             7deg              1.543m                -0.019m 
2.8250*       99%           3.217             7deg              1.543m                -0.029m 
